0,NaN
-0.5235987755982988,-2.2320508075688776
-0.7853981633974483,-1.7071067811865477
-1.0471975511965976,-1.4433756729740645
-1.5707963267948966,-1.0
-6.283185307179586,NaN
-6.806784082777885,-2.232050807568877
-7.0685834705770345,-1.707106781186548
-7.330382858376184,-1.443375672974065
-7.853981633974483,-1.0000000000000002
-12.566370614359172,NaN
-13.08996938995747,-2.2320508075688807
-13.351768777756622,-1.707106781186547
-13.61356816555577,-1.4433756729740643
-14.137166941154069,-1.0000000000000004
-Infinity,NaN
NaN,NaN
0.25,607.8226640858577
0.6,19.991591149071862
1,NaN
1.5,0.0011894583664954742
3.0,0.09416095051498459
10.0,196.6439442749189
100,35519.60493477387
123,48171.273365326146
777,431031.7965963809
Infinity,NaN
